countyData = [

78.78,73.34,$49,881 ,86,490
80.29,74.97,$59,338 ,942
77.18,72.17,$57,588 ,3,393
76.77,71.54,$34,382 ,433
78.62,73.14,$46,064 ,344
76.39,67.19,$50,412 ,878
78.08,69.38,$29,267 ,224
75.8,70.8,$37,365 ,427
76.37,70.12,$45,400 ,2,139
77.07,72.23,$39,917 ,597
76.94,70.82,$42,132 ,415
78.6,71.5,$47,547 ,703
77.35,72.29,$39,907 ,260
76.6,71.69,$40,741 ,570
76.6,71.69,$39,201 ,233
78.36,74.05,$46,495 ,244
77.85,70.36,$55,122 ,822
78.08,69.38,$49,055 ,1,074
76.94,70.82,$32,613 ,235
77.49,72.18,$42,423 ,183
76.39,70.17,$40,203 ,715
77.74,72.33,$39,057 ,257
77.98,73.45,$45,796 ,1,241
75.44,68.57,$45,309 ,846
77.32,72.14,$34,035 ,973
78.4,72.9,$39,491 ,1,150
77.73,71.05,$60,367 ,1,283
75.33,70.33,$38,418 ,656
75.82,70.44,$44,903 ,1,768
74.92,70.69,$39,254 ,267
78.06,72.17,$39,388 ,530
77.86,70.02,$37,823 ,426
76.8,68.06,$28,524 ,191
78.53,71.87,$34,724 ,305
79.12,73.29,$46,027 ,300
76.26,70.71,$47,993 ,1,825
77.47,72,$41,929 ,955
77.22,71.81,$55,013 ,11,655
78.82,72.83,$40,936 ,218
77.45,70.39,$48,707 ,1,766
78.75,76.34,$43,909 ,583
79.5,74.59,$48,937 ,2,703
76.39,70.17,$64,863 ,1,503
76.39,67.19,$33,973 ,265
79.51,75.13,$32,495 ,427
77.11,70.07,$63,755 ,6,220
76.41,70.35,$37,733 ,380
76.59,71.5,$37,887 ,513
77.81,71.72,$46,233 ,1,441
77.72,70.78,$43,598 ,8,798
77.98,73.35,$39,556 ,442
77.85,72.89,$49,640 ,4,219
76.8,68.06,$52,797 ,1,983
76.45,71.58,$26,814 ,222
77.32,71.5,$37,586 ,356
77.54,70.73,$37,259 ,686
76.1,68.76,$40,546 ,383
78.5,72.34,$39,104 ,955
80.99,77.25,$57,284 ,1,387
77.86,70.02,$75,663 ,3,219
76.14,70.52,$27,859 ,281
78.5,72.56,$41,630 ,1,497
77.89,72.36,$42,205 ,744
75.05,68.2,$52,557 ,3,714
77.79,71.51,$45,434 ,1,068
77.11,70.07,$44,424 ,389
76.83,70.19,$25,385 ,262
80.06,75.8,$41,156 ,410
80.06,75.8,$74,912 ,23,511
80.06,75.8,$70,081 ,69
80.06,75.8,$82,633 ,128
80.06,75.8,$82,113 ,8,348
80.06,75.8,$44,304 ,945
80.06,75.8,$77,257 ,28
80.06,75.8,$75,477 ,85
80.06,75.8,$54,524 ,166
80.06,75.8,$74,268 ,2,675
80.06,75.8,$58,943 ,104
80.06,75.8,$51,188 ,146
80.06,75.8,$79,173 ,762
80.06,75.8,$65,439 ,2,044
80.06,75.8,$68,309 ,422
80.06,75.8,$74,109 ,362
80.06,75.8,$32,728 ,539
80.06,75.8,$49,403 ,86
80.06,75.8,$74,649 ,3,640
80.06,75.8,$55,318 ,477
80.06,75.8,$89,276 ,240
80.06,75.8,$59,337 ,416
80.06,75.8,$66,075 ,122
80.06,75.8,$49,356 ,315
80.06,75.8,,
80.06,75.8,$71,825 ,183
80.06,75.8,$74,635 ,82
80.06,75.8,,
77.54,68.5,$63,527 ,282
80.53,75.39,$68,528 ,361
81.81,75.68,$57,832 ,74
79.66,72.15,,
79.31,74.19,$59,523 ,20
];
